City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Alexandria,EG,31.2156,29.9553,81.39,65,0,18.43,clear sky
331,Hove,GB,50.8309,-0.1672,70.18,73,40,16.11,scattered clouds
332,Bentiu,SS,9.2333,29.8333,91.62,51,100,1.72,overcast clouds
333,Camana,PE,-16.6228,-72.7111,63.03,81,99,10.33,overcast clouds
334,Ereymentau,KZ,51.6199,73.1033,40.69,63,95,6.58,overcast clouds
335,Chumikan,RU,54.7183,135.315,47.64,63,0,4.32,clear sky
336,College,US,64.8569,-147.8028,29.28,72,40,6.91,scattered clouds
337,Jimo,CN,36.3897,120.4622,71.98,76,95,3.6,light rain
338,Stokmarknes,NO,68.5646,14.9108,53.49,62,40,6.91,scattered clouds
339,Mitu,CO,1.1983,-70.1733,72.79,97,100,2.89,overcast clouds
340,Uchiza,PE,-8.4592,-76.4633,74.26,78,79,2.95,broken clouds
341,Sola,VU,-13.8833,167.55,78.93,79,79,13.71,broken clouds
342,Manama,BH,26.2154,50.5832,98.78,34,0,13.8,clear sky
343,Beisfjord,NO,68.3751,17.5988,53.65,70,98,5.26,overcast clouds
344,Shanghai,CN,31.2222,121.4581,80.46,75,0,11.18,light rain
345,Marsabit,KE,2.3284,37.9899,80.56,30,11,19.15,few clouds
